model,concept,concept_type,accuracy,f1_score,r2_score,mae
ppo_door_key_subgoal_final,has_key,binary,1.0,1.0,,
ppo_door_key_subgoal_final,door_open,binary,0.905,0.9010416666666666,,
ppo_door_key_subgoal_final,door_locked,binary,0.8725,0.8654353562005277,,
ppo_door_key_subgoal_final,key_visible,binary,0.9575,0.9772423025435074,,
ppo_door_key_subgoal_final,door_visible,binary,0.9675,0.9738430583501007,,
ppo_door_key_subgoal_final,goal_visible,binary,0.97,0.9548872180451128,,
ppo_door_key_subgoal_final,visited,binary,0.81,0.8416666666666667,,
ppo_door_key_subgoal_final,dist_to_goal,continuous,,,0.6088077709129975,0.8523503133654594
ppo_door_key_subgoal_decay_final,has_key,binary,0.9925,0.9950738916256158,,
ppo_door_key_subgoal_decay_final,door_open,binary,0.8925,0.8894601542416453,,
ppo_door_key_subgoal_decay_final,door_locked,binary,0.8675,0.8623376623376623,,
ppo_door_key_subgoal_decay_final,key_visible,binary,0.94,0.967479674796748,,
ppo_door_key_subgoal_decay_final,door_visible,binary,0.96,0.9678714859437751,,
ppo_door_key_subgoal_decay_final,goal_visible,binary,0.945,0.917910447761194,,
ppo_door_key_subgoal_decay_final,visited,binary,0.8075,0.8365180467091295,,
ppo_door_key_subgoal_decay_final,dist_to_goal,continuous,,,0.46870387059507246,1.0622466289997101
ppo_door_key_exploration_final,has_key,binary,1.0,1.0,,
ppo_door_key_exploration_final,door_open,binary,0.905,0.9045226130653267,,
ppo_door_key_exploration_final,door_locked,binary,0.895,0.8960396039603961,,
ppo_door_key_exploration_final,key_visible,binary,0.95,0.9732620320855615,,
ppo_door_key_exploration_final,door_visible,binary,0.9725,0.9781312127236581,,
ppo_door_key_exploration_final,goal_visible,binary,0.985,0.9770992366412213,,
ppo_door_key_exploration_final,visited,binary,0.8175,0.8494845360824742,,
ppo_door_key_exploration_final,dist_to_goal,continuous,,,0.6168707552100965,0.8384607809782029
